model,stage,layer,head,tokens,mean,p50,p90,p99,p99_9,max,mean_delta_vs_orig,mean_gain_pct_vs_orig,p50_delta_vs_orig,p50_gain_pct_vs_orig,p90_delta_vs_orig,p90_gain_pct_vs_orig,p99_delta_vs_orig,p99_gain_pct_vs_orig,p99_9_delta_vs_orig,p99_9_gain_pct_vs_orig,max_delta_vs_orig,max_gain_pct_vs_orig
rot_noclip_rpn,post,0,6,20480,5.695566654205322,5.65673303604126,6.5794901847839355,7.482423782348633,7.964318752288818,8.095752716064453,5.524394512176514,49.23719815295935,5.614827632904053,49.81411002270226,6.098561763763428,48.10330316135196,6.078088760375977,44.82196923771108,6.2019782066345215,43.779812216402114,6.897547721862793,46.00419867806202
fireq_rpn,post,0,7,20480,6.727168083190918,6.723296642303467,7.5688323974609375,7.993322849273682,8.019718170166016,8.493863105773926,-2.7579360008239746,-69.48286075475221,-2.7940287590026855,-71.10812604244131,-2.7152395248413086,-55.94287770114951,-2.299912929534912,-40.396053717495874,-1.8988542556762695,-31.022651086575642,-2.3723011016845703,-38.753198940071414
orig,post,0,7,20480,3.9692320823669434,3.9292678833007812,4.853592872619629,5.6934099197387695,6.120863914489746,6.1215620040893555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,0,7,20480,6.7027692794799805,6.694548606872559,7.594988822937012,7.983783721923828,8.008864402770996,8.025665283203125,-2.733537197113037,-68.86816241500715,-2.7652807235717773,-70.3764875722549,-2.741395950317383,-56.48178622031332,-2.2903738021850586,-40.22850689609484,-1.88800048828125,-30.845326977648376,-1.9041032791137695,-31.104859802804924
fireq_rpn,post,1,0,20480,6.992575645446777,6.9878387451171875,7.594134330749512,8.426233291625977,9.21279525756836,10.061975479125977,-0.11288118362426758,-1.640787745018026,-0.11648941040039062,-1.6952916337965773,-0.0812525749206543,-1.0815100990723647,-0.12421989440917969,-1.4962622735687672,-0.05945301055908203,-0.6495224253032541,-0.18771076202392578,-1.9010100235495417
orig,post,1,0,20480,6.87969446182251,6.871349334716797,7.512881755828857,8.302013397216797,9.153342247009277,9.87426471710205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,1,0,20480,6.262678146362305,6.232707977294922,6.993098258972168,7.563589096069336,7.896338939666748,8.017210006713867,0.6170163154602051,8.96865869384482,0.638641357421875,9.294264143946288,0.5197834968566895,6.918563525286635,0.7384243011474609,8.894520712228838,1.2570033073425293,13.732724871652614,1.8570547103881836,18.80701767263539
fireq_rpn,post,1,1,20480,7.269944190979004,7.060150146484375,8.483094215393066,9.982328414916992,10.924799919128418,12.376581192016602,-0.29080677032470703,-4.166801035670734,-0.2735424041748047,-4.030620518546644,0.07204532623291016,0.8421291772316005,0.058518409729003906,0.582803529931023,-0.10457229614257812,-0.9664519064315342,0.5613670349121094,4.338918544624367
orig,post,1,1,20480,6.979137420654297,6.78660774230957,8.555139541625977,10.040846824645996,10.82022762298584,12.937948226928711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,1,1,20480,6.010978698730469,5.9654998779296875,6.7906599044799805,7.498455047607422,7.910412788391113,8.192304611206055,0.9681587219238281,13.872183101863365,0.8211078643798828,12.09894391362671,1.764479637145996,20.62479084719455,2.542391777038574,25.32049160234261,2.9098148345947266,26.892362489799115,4.745643615722656,36.680032509677204
fireq_rpn,post,1,2,20480,9.972550392150879,10.026759147644043,10.761109352111816,11.468390464782715,11.866135597229004,12.10484504699707,-0.004681587219238281,-0.04696678207604466,-0.0021390914916992188,-0.021338379706335186,-0.005523681640625,-0.05135640038449913,-0.12490272521972656,-1.1010963125926425,-0.1621112823486328,-1.3850901022354019,-0.1611003875732422,-1.3488264540730206
orig,post,1,2,20480,9.96786880493164,10.024620056152344,10.755585670471191,11.343487739562988,11.704024314880371,11.943744659423828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,1,2,20480,6.773837089538574,6.769323825836182,7.228477478027344,7.632857799530029,7.889493942260742,8.028114318847656,3.1940317153930664,32.04327602920303,3.255296230316162,32.4730135614298,3.5271081924438477,32.793269474179446,3.710629940032959,32.71154362067404,3.814530372619629,32.59161353390112,3.915630340576172,32.78394215742606
fireq_rpn,post,1,3,20480,6.823441505432129,6.817307472229004,7.293996334075928,7.799620628356934,8.458046913146973,9.73148250579834,-1.0068321228027344,-17.309605245446214,-1.118006706237793,-19.616559155978347,-0.6452221870422363,-9.704378172179275,-0.17422151565551758,-2.2847527464539086,-0.24555206298828125,-2.989981332938509,-0.7862615585327148,-8.78973882442847
orig,post,1,3,20480,5.8166093826293945,5.699300765991211,6.648774147033691,7.625399112701416,8.212494850158691,8.945220947265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,1,3,20480,6.125776767730713,6.069901466369629,6.8934736251831055,7.559530735015869,7.9175333976745605,8.175040245056152,-0.30916738510131836,-5.31525094369599,-0.37060070037841797,-6.502564359997657,-0.24469947814941406,-3.6803698356724177,0.06586837768554688,0.8638023624997115,0.29496145248413086,3.59161811198495,0.7701807022094727,8.609968459693569
fireq_rpn,post,1,4,20480,8.01197624206543,7.912044525146484,9.246962547302246,10.226021766662598,10.864605903625488,11.63701057434082,0.1551666259765625,1.8998887185349613,0.11116695404052734,1.3855667936574425,0.0025568008422851562,0.027642526557858975,0.01354217529296875,0.1322534374484549,0.010279655456542969,0.09452656214812336,-0.035307884216308594,-0.3043336410125647
orig,post,1,4,20480,8.167142868041992,8.023211479187012,9.249519348144531,10.239563941955566,10.874885559082031,11.601702690124512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
