layer,head,pair,dim0,dim1,override_priority,search_window_deg,search_step_deg,search_grid_size,search_grid_min_deg,search_grid_max_deg,coarse_best_alpha_deg,coarse_best_alpha_rad,coarse_best_gap_csv,coarse_best_gap_recomputed,refined_best_alpha_deg,refined_best_alpha_rad,refined_best_gap,gap_at_zero_deg,refine_delta_deg,gap_improvement_vs_coarse,gap_improvement_vs_coarse_pct,gap_improvement_vs_zero,gap_improvement_vs_zero_pct,post_residual_gap,support_count_234,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent
1,7,51,102,103,high,5.0,0.5,21,25.0,35.0,30.0,0.5235987755982988,0.031639743596315384,0.031639743596315384,31.5,0.5497787143782138,0.0035251241642981768,0.4019284248352051,1.5,0.028114619432017207,88.8585564748107,0.3984033006709069,99.12294728452125,0.40192842553053887,2,1,1,1,0
1,3,56,112,113,high,5.0,0.5,21,30.0,40.0,35.0,0.6108652381980153,0.029867637902498245,0.029867637902498245,32.5,0.5672320068981571,0.002287185750901699,0.3988501727581024,-2.5,0.027580452151596546,92.34226101719818,0.3965629870072007,99.42655515601624,0.3988501713022195,2,1,1,1,0
19,4,40,80,81,high,5.0,0.5,21,35.0,45.0,40.0,0.6981317007977318,0.0067975809797644615,0.0067975809797644615,39.5,0.6894050545377601,0.003393197199329734,0.39980608224868774,-0.5,0.0034043837804347277,50.08228354423651,0.396412885049358,99.15128924996716,0.39980607466528634,2,1,1,1,0
0,2,37,74,75,high,5.0,0.5,21,30.0,40.0,35.0,0.6108652381980153,0.009385844692587852,0.009385844692587852,36.0,0.6283185307179586,0.0012665939284488559,0.39699041843414307,1.0,0.008119250764138997,86.5052750185702,0.3957238245056942,99.68095100797528,0.3969904119940356,2,1,1,1,0
1,5,49,98,99,high,5.0,0.5,21,-45.0,44.5,-45.0,-0.7853981633974483,0.033012036234140396,0.033012036234140396,44.0,0.767944870877505,0.0012542979093268514,0.3955051600933075,-1.0,0.031757738324813545,96.2004830588739,0.39425086218398064,99.68286180917818,0.39550515446650947,2,1,1,1,0
0,7,57,114,115,high,5.0,0.5,21,-20.0,-10.0,-15.0,-0.2617993877991494,0.033757902681827545,0.033757902681827545,-14.0,-0.24434609527920614,0.000572271179407835,0.38810476660728455,1.0,0.03318563150241971,98.30477863272027,0.3875324954278767,99.85254724274311,0.3881047652128046,3,1,1,1,1
31,5,41,82,83,high,5.0,0.5,21,20.0,30.0,25.0,0.4363323129985824,0.022622274234890938,0.022622274234890938,26.0,0.4537856055185257,0.003932018298655748,0.38966646790504456,1.0,0.01869025593623519,82.61881958538328,0.3857344496063888,98.99092721018687,0.3896664563911794,2,1,1,1,0
27,7,44,88,89,high,5.0,0.5,21,-30.0,-20.0,-25.0,-0.4363323129985824,0.034734491258859634,0.034734491258859634,-27.0,-0.47123889803846897,0.001036589383147657,0.380572110414505,-2.0,0.03369790187571198,97.01567708183072,0.37953552103135735,99.72762339783158,0.38057210466435526,2,1,1,1,0
1,1,49,98,99,high,5.0,0.5,21,-25.0,-15.0,-20.0,-0.3490658503988659,0.02922465279698372,0.02922465279698372,-19.0,-0.33161255787892263,0.002826894400641322,0.3793887794017792,1.0,0.026397758396342397,90.32702143536471,0.37656188500113785,99.25488191688252,0.3793887819987169,3,1,1,1,1
1,7,44,88,89,high,5.0,0.5,21,-25.0,-15.0,-20.0,-0.3490658503988659,0.03946802020072937,0.03946802020072937,-22.0,-0.3839724354387525,0.0026388918049633503,0.37686586380004883,-2.0,0.03682912839576602,93.31384804319477,0.3742269719950855,99.29977956125964,0.37686587156730267,2,1,1,1,0
