layer,head,pair,dim0,dim1,bucket_size,n_buckets,current_global_gap,best_global_alpha_deg,best_global_gap,global_gap_reduction,global_gap_reduction_pct,bucket_best_alpha_mean_deg,bucket_best_alpha_std_deg,bucket_best_alpha_min_deg,bucket_best_alpha_max_deg,bucket_best_alpha_range_deg,bucket_best_gap_mean,bucket_best_gap_median,bucket_consistent_flag
1,1,41,82,83,256,80,0.33770355582237244,-40.0,0.029682038351893425,0.308021517470479,91.21062309231183,-26.3125,12.31725788116455,-45.0,25.0,70.0,0.024858763441443443,0.022728532552719116,0
1,1,45,90,91,256,80,0.28592732548713684,-20.0,0.023157192394137383,0.26277013309299946,91.90102157788372,-6.375,7.457169532775879,-25.0,10.0,35.0,0.025676125660538673,0.024834727868437767,0
1,1,46,92,93,256,80,0.49920371174812317,-20.0,0.052243418991565704,0.44696029275655746,89.53464933010645,-18.25,3.269174098968506,-25.0,-10.0,15.0,0.04023873805999756,0.03915821760892868,1
1,1,47,94,95,256,80,0.6104519963264465,-30.0,0.02216249145567417,0.5882895048707724,96.36949480236895,-26.625,3.1399641036987305,-30.0,-20.0,10.0,0.042970120906829834,0.03892385959625244,1
1,1,49,98,99,256,80,0.3793887794017792,-20.0,0.02922465279698372,0.35016412660479546,92.29691166853559,-14.9375,3.0097498893737793,-25.0,-10.0,15.0,0.036131151020526886,0.036148764193058014,1
1,1,50,100,101,256,80,0.4350263178348541,-45.0,0.009120704606175423,0.4259056132286787,97.90341314254972,-22.6875,10.751272201538086,-40.0,40.0,80.0,0.037748806178569794,0.03500182181596756,0
1,1,52,104,105,256,80,0.3347043991088867,-40.0,0.008857504464685917,0.3258468946442008,97.35363368743643,-12.125,33.41757583618164,-45.0,40.0,85.0,0.019544359296560287,0.015025032684206963,0
1,1,57,114,115,256,80,0.3992551565170288,30.0,0.018088482320308685,0.3811666741967201,95.46944303034013,26.625,11.00497055053711,-45.0,40.0,85.0,0.027693945914506912,0.025114189833402634,0
1,1,59,118,119,256,80,0.2539733052253723,25.0,0.01422926690429449,0.23974403832107782,94.39733758960705,18.5625,5.012094974517822,5.0,30.0,25.0,0.022582940757274628,0.022079642862081528,0
1,1,60,120,121,256,80,0.6660811901092529,-40.0,0.0041776481084525585,0.6619035420008004,99.37280196911621,-32.75,20.231473922729492,-45.0,40.0,85.0,0.02720494195818901,0.023803982883691788,0
1,1,61,122,123,256,80,0.4623601734638214,30.0,0.013597995974123478,0.44876217748969793,97.05900361783918,28.5,2.5495097637176514,20.0,35.0,15.0,0.03917039558291435,0.03872509300708771,1
1,1,62,124,125,256,80,0.48572373390197754,40.0,0.03905994072556496,0.4466637931764126,91.95840392402,34.875,3.9508702754974365,30.0,40.0,10.0,0.04143151268362999,0.04319669306278229,1
1,2,46,92,93,256,80,0.260702908039093,-15.0,0.037792570888996124,0.2229103371500969,85.50358675579905,-10.375,4.2407989501953125,-20.0,-5.0,15.0,0.029720205813646317,0.02892548218369484,1
1,2,49,98,99,256,80,0.34278222918510437,20.0,0.0395381860435009,0.30324404314160347,88.4655088049649,18.25,7.075485706329346,-10.0,30.0,40.0,0.027797851711511612,0.02632751315832138,0
1,2,51,102,103,256,80,0.2653350532054901,-15.0,0.05506284534931183,0.21027220785617828,79.24780586503657,-20.75,13.160072326660156,-45.0,40.0,85.0,0.019757289439439774,0.015054609626531601,0
1,2,54,108,109,256,80,0.2611958086490631,-10.0,0.010365840047597885,0.2508299686014652,96.03139112330658,-9.25,3.716517210006714,-20.0,0.0,20.0,0.0351470522582531,0.036465682089328766,1
